Year,UniqueCarrier,Origin,Dest,count
2005,UA,ALB,ORD,5
2006,US,PWM,DCA,2
2007,WN,ELP,DAL,6
2008,WN,MCI,MDW,12
2008,WN,MDW,LAS,12
2008,WN,PHX,TUL,3
1990,US,BUR,SFO,30
1997,HP,CMH,PHX,155
2003,UA,ORD,MSP,25
2003,UA,GRR,ORD,6
2005,UA,DEN,STL,31
2007,WN,TPA,LAS,1
2007,WN,ABQ,STL,1
2007,WN,LAX,LAS,14
2008,WN,LAS,SNA,6
2008,WN,MDW,PIT,6
2008,WN,PHX,PDX,3
2008,WN,PHX,PHL,2
1991,US,CVG,CLT,24
1992,US,DAY,PHL,6
1994,US,EWR,BOS,52
1995,US,RIC,PHL,146
2001,US,CRW,PIT,31
2001,US,PHL,CLE,31
2001,US,PHL,BTV,25
2002,US,CLT,ORF,5
2006,US,CLT,ABE,2
2006,US,PHX,TPA,2
2006,US,SMF,LAS,3
2007,WN,BUF,LAS,1
2008,WN,PHX,MHT,1
1988,PI,JFK,BUF,31
1988,PS,SJC,BUR,13
1990,US,TYS,PIT,30
1992,US,DTW,PIT,6
1993,US,PIT,STL,30
2004,UA,IAD,ORD,6
2004,UA,ABQ,DEN,25
2007,WN,HOU,ABQ,3
2007,WN,MCO,ORF,2
2008,WN,LAS,SFO,7
2008,WN,ORF,MCO,2
2008,WN,PDX,SLC,3
1989,UA,ORD,PHL,29
1992,US,PIT,ALB,6
1994,US,SYR,EWR,30
1995,US,PHX,PHL,62
2001,US,ROC,BOS,27
2004,UA,PDX,ORD,31
2006,US,DCA,RSW,6
2006,US,PHX,SEA,5
2006,US,SJC,LAS,3
2007,WN,TPA,PIT,1
2007,WN,BWI,LAX,2
2007,WN,DTW,BNA,3
2007,WN,IAD,MCO,2
2007,WN,MAF,ABQ,1
2008,WN,ISP,BWI,7
2008,WN,JAN,HOU,4
2008,WN,MCO,ISP,6
1988,PI,EWR,ROA,26
1994,US,CLE,PHL,4
1996,HP,AUS,PHX,93
2001,US,PIT,HPN,31
2004,UA,DEN,PDX,30
2004,UA,TUS,ORD,25
2005,UA,SFO,SNA,22
2006,US,CLT,RDU,12
2006,US,DCA,ORD,2
2006,US,MCO,LAS,1
2006,US,PHL,LAS,5
2006,US,SMF,PHX,5
2006,US,ATL,LAS,1
2007,WN,ABQ,BWI,1
