Year,Origin,Dest,count
2006,PHL,LAS,3
2006,PHX,ABQ,1
2006,PIT,FLL,1
2007,JAN,MDW,2
2007,LBB,DAL,2
2008,PHX,CMH,1
2008,PHX,TPA,1
2006,CLT,MHT,2
2007,TPA,IND,1
2007,BWI,PHX,2
2007,CMH,BNA,1
2008,OAK,MDW,4
2008,SEA,GEG,3
1992,PIT,CMH,22
1993,PIT,ATL,14
2001,PIT,BUF,17
2003,ATL,DEN,1
2003,EWR,DEN,2
2006,ATL,PHX,2
2006,CLT,MCO,9
2007,BUF,TPA,1
2008,OAK,PDX,6
1987,SJC,BUR,34
1997,AUS,PHX,131
2001,CHS,DCA,8
2005,ORD,IAH,12
2006,DCA,MCO,8
2006,ORD,PHX,5
2007,BOI,OAK,1
2007,LAX,OAK,16
2007,MCI,BNA,3
2008,LAX,SJC,11
2008,ORF,BWI,4
1992,PIT,FLL,23
1993,DCA,IND,23
1993,LAS,LAX,18
2002,CLT,GSO,6
2002,ORF,PIT,5
2004,CMH,ORD,35
2006,CLT,MSY,2
2006,PHX,LAS,2
2007,MDW,CLE,5
2008,MCO,RDU,4
1989,PHL,SFO,17
1989,SEA,DEN,19
1989,BOS,ORD,21
1991,TPA,SYR,10
1995,SRQ,PHL,25
2006,IAD,PHX,1
2006,PHX,MIA,1
2007,BHM,SDF,1
2007,BNA,BWI,7
2007,DEN,PHX,3
2008,MCO,ISP,6
2008,RSW,MCO,2
1991,CHS,CLT,14
1992,ALB,BWI,19
2007,SMF,ONT,1
2007,BNA,CLE,3
2008,OAK,GEG,2
1991,CLE,CLT,14
1991,LAX,TPA,10
1992,TPA,CLT,3
1999,ATL,PHX,49
2003,PDX,DEN,1
2007,DAL,MCI,2
2007,HOU,DAL,13
2007,HOU,LAS,1
2007,LAX,MCI,4
2008,PHL,LAS,1
1987,TUS,LAX,19
1988,BWI,SYR,14
1992,PHL,ORH,4
1993,LGA,FLL,19
1994,PIT,HTS,12
2003,DEN,OKC,4
